" ""CHARLES AUBREY HEARN""",
" ""SAMUEL LAWRENCE JOHNSON""",
" ""GEORGE BURKE JOHNSTON""",
" ""GEORGE RILEY KERNODLE""",
" ""IDALEE M. LYLE""",
" ""JAMES BENJAMIN McMILLAN""",
" ""THELMA THOMSON SLAYDEN""",
" ""WESLEY SYLVESTER THOMPSON""",
" ""ALYCE BILLINGS WALKER""",
" ""CHARLES BEAUMONT WICKS""",
" ""THOMAS YOUNG ABERNETHY""",
" ""OLA GRACE BAKER""",
" ""CLINT BONNER""",
" ""FLORINE COATS""",
" ""ZELIA STEPHENS EVANS""",
" ""SIDNEY BERNARD FINN""",
" ""RICHARD BORDEN FREEMAN""",
" ""WILLIAM FENNER FRYE JR.""",
" ""HENRY POELLNITZ JOHNSTON""",
" ""JOHN LUSKIN""",
" ""LEON MEERTIEF MACON""",
" ""JOHN WILLIAM McKINNEY""",
" ""JAMES MAX McMURRAY""",
" ""JOHN LEWIS SANDLIN""",
" ""JEROME WILLIAMS SCHWEITZER""",
" ""MILDRED LEE SCUDDER""",
" ""CHARLES GRAYSON SUMMERSELL""",
" ""GLENN L. WELLS""",
" ""MAY AUGUSTA BRUNSON""",
" ""MARIAN BROWN COCKRELL""",
" ""ALMA FAY HUNT""",
" ""ZELON B. JONES""",
" ""WELBOURN KELLEY""",
" ""MARGERY THOMPSON LOCKHART""",
" ""HILARY HERBERT LYONS JR.""",
" ""ALLEN MOBLEY PEARSON""",
" ""JEANNETTE JOHNSON VARNER""",
" ""GLADYS G. WARD""",
" ""LAEL TUCKER WERTENBAKER""",
" ""WILLIAM TATE WHITMAN""",
" ""EDWARD WARE BARRETT""",
" ""CHARLES SHEPARD DAVIS""",
" ""WILLIAM COLUMBUS DAVIS""",
" ""WAIGHTS GIBBS HENRY JR.""",
" ""GEORGE MCNEILL RAY""",
" ""MARGARET DAVIDSON SIZEMORE""",
" ""WYNDHAM NELSON SOUTHGATE""",
" ""ANNIE CROOK WATERS""",
" ""BERNERD CLARKE WEBER""",
" ""EDNA EARLE SMITH ARNOLD""",
" ""HELEN FRIEDMAN BLACKSHEAR""",
" ""JOHN HOMER BLACKSTONE""",
" ""SARA BROOKS""",
" ""GORDON THOMAS CHAPPELL""",
" ""ANNIE MELL FAULK CRAWFORD""",
" ""ETHEL MILLER GORMAN""",
" ""HARRIET HASSELL""",
" ""FRANCES MARCHMAN HONOUR""",
" ""MELISSA DEARING JACK HURT""",
" ""GERALD LANGFORD""",
" ""SARA ELIZABETH MASON""",
" ""JAMES HART McCOWN""",
" ""JOSEPH FORDE ANTHONY McMANUS""",
" ""GLOVER MOORE""",
" ""JOHN HAZARD WILDMAN""",
" ""WILLIAM FIELDS BAILEY""",
" ""SAMUEL BOOTH BARKER""",
" ""HOWARD BARNEY""",
" ""NELL HUGHEY BRASHER""",
" ""JAMES FLETCHER DOSTER""",
" ""MARGARET PACE FARMER""",
" ""ALBERT SIDNEY FOLEY""",
" ""ALFIE CASEY HORN""",
" ""DOROTHY LOUISE MILAM JULICH""",
" ""LOUISE JANE MOSES""",
" ""GORDON CHASON SAYLORS""",
" ""VIVIAN SMALLWOOD""",
" ""SUSAN B. SMELLEY""",
